标题,卖点,总价,单价,户型,楼层,共有楼层数,装修,朝向,建造时间,面积,小区,区域,所属区,梯户比例,是否有电梯,详情页,
30方私 家 花 园，只需1点税，东南采光,30方私家后花园，只需1点税费，东南采光好，大德路诗书路交界,118,33792,2室1厅,低楼层,5,精装,东南 西南,1999,34.92,大德路,解放南,越秀,一梯五户,无,商品房,https://gz.lianjia.com/ershoufang/108403398765.html
御华园 复式四房 产权清晰 钥匙在手 诚意放卖,"卖点介绍：
御华园复式四房  望花园",360,13943,4室2厅,高楼层,30,简装,南,2013,258.21,新鸿基御华园,狮岭镇,花都,三梯五户,有,商品房,https://gz.lianjia.com/ershoufang/108403412085.html
满五唯一免个税，中高层视野宽阔 原业主自住保养好,此房满五唯一免除个税，业主自住装修保养好可拎包入住 诚意出手,525,55194,3室2厅,中楼层,30,精装,北 东北,2010,95.12,君华香柏广场,京溪,白云,三梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403400639.html
东南向 3房带主套，户型方正，采光序号，交通便利,东南向3房带主套，户型方正，采光通风好，交通便利，视野开阔,760,70358,3室2厅,低楼层,25,精装,东南,2008,108.02,佳大银湾,东晓路,海珠,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403402190.html
荔城西区，大型小区，高楼层，视野无遮挡,通透格局 楼层好 视野开阔 采光充足 配套设施齐全,190,16815,3室2厅,高楼层,32,毛坯,东南,2012,113,锦绣御景国际三期,荔城西区,增城,二十梯五户,有,商品房,https://gz.lianjia.com/ershoufang/108403400521.html
房子出入配套成熟，离市场近，离公园近。环境好。,此房满五不唯，户口不占用，房子低楼层，通风釆光好。,218,37393,2室1厅,低楼层,9,简装,南 西,1996,58.3,桂花岗,桂花岗,越秀,一梯八户,无,商品房,https://gz.lianjia.com/ershoufang/108403399530.html
佳润云凯雅寓 2室1厅 南,链家网真房源，更多房源信息请联系经纪人,105,25723,2室1厅,高楼层,16,精装,南,0,40.82,佳润云凯雅寓,南湖,白云,两梯十九户,有,商品房,https://gz.lianjia.com/ershoufang/108403409655.html
富力泉天下 中空厅别墅 格局方正 花园开阔 没遮挡,空气清新 负离子空气 优质的森林 层望山景视野开阔配套完善,155,8113,3室1厅,低楼层,3,毛坯,东南,2013,191.07,富力泉天下,温泉镇,从化,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108403401386.html
华工东区  精修4房 电梯平层 南北向 带杂物间,精修4房 电梯平层 南北向 带杂物间,838,79530,4室2厅,低楼层,8,精装,南 北,1995,105.37,华南理工大学宿舍凤凰新村,五山,天河,一梯两户,有,商品房,https://gz.lianjia.com/ershoufang/108403385470.html
花都雅景苑 6室2厅 南 北,链家网真房源，更多房源信息请联系经纪人,267,9169,6室2厅,高楼层,7,简装,南 北,0,291.23,花都雅景苑,旧区,花都,一梯两户,暂无数据,商品房,https://gz.lianjia.com/ershoufang/108403388409.html
怡新花园一期宏华楼东南向5房！ 新装修 拎包入住！,怡新一期大户之家！东南朝向，采光充足！精装修，拎包入住！,820,44556,5室3厅,低楼层,9,精装,东 南,1999,184.04,梅苑小区,梅花园,白云,一梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403393270.html
金都花园 电梯4房 满5年 无按揭 钥匙在手 随时看房,满5年不唯一，南向好房 电梯高层4房，地铁口物业。钥匙在手,108,9345,4室1厅,高楼层,10,其他,南,1995,115.57,金都花园,旧区,花都,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108403389870.html
华侨城(番禺) 6室3厅 西南,链家网真房源，更多房源信息请联系经纪人,275,17028,6室3厅,高楼层,9,精装,西南,1993,161.5,华侨城(番禺),市桥,番禺,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403397151.html
