标题,地区,户型,面积,朝向,装修,楼层,建立时间,房子类型,总价,单价,关注人数,发布时间,标签,详情页
30方私 家 花 园，只需1点税，东南采光,大德路 -解放南,2室1厅 ,34.92, 东南 西南 , 精装 , 低楼层(共5层) , 1999年建 , 板楼,118万,"33,792",5, 4天以前发布,近地铁-VR房源-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403398765.html
华侨城(番禺) 6室3厅 西南,华侨城(番禺) -市桥,6室3厅 ,161.5, 西南 , 精装 , 高楼层(共9层) , 1993年建 , 塔楼,275万,"17,028",2, 5天以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403397151.html
怡新花园一期宏华楼东南向5房！ 新装修 拎包入住！,梅苑小区 -梅花园,5室3厅 ,184.04, 东 南 , 精装 , 低楼层(共9层) , 1999年建 , 塔楼,820万,"44,556",5, 6天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403393270.html
凤岭苑 南向复式精装四房   望花园 视野开阔,碧桂园凤凰城凤岭苑 -凤凰城,4室2厅 ,179.92, 东南 , 精装 , 高楼层(共6层) , 2002年建 , 塔楼,380万,"21,121",18, 15天以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403366681.html
近地铁 新世界花园 保养好 视野好 满五,新塘新世界花园万象苑 -沙村,2室1厅 ,84.66, 北 , 精装 , 高楼层(共16层) , 2009年建 , 塔楼,187万,"22,089",7, 7天以前发布,近地铁-VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403391821.html
翡翠绿洲 南向精装大两房 证满五年,翡翠绿洲湖滨苑 -凤凰城,2室2厅 ,94.59, 南 , 精装 , 低楼层(共21层) , 2011年建 , 塔楼,168万,"17,761",1, 7天以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403389473.html
荔城西区，大型小区，高楼层，视野无遮挡,锦绣御景国际三期 -荔城西区,3室2厅 ,113, 东南 , 毛坯 , 高楼层(共32层) , 2012年建 , 塔楼,190万,"16,815",2, 4天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403400521.html
富力泉天下 中空厅别墅 格局方正 花园开阔 没遮挡,富力泉天下 -温泉镇,3室1厅 ,191.07, 东南 , 毛坯 , 3层 , 2013年建 , 塔楼,156万,"8,165",5, 3天以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403401386.html
锦绣新天地 5房南向   包车位  中高层,锦绣新天地 -新塘南,5室2厅 ,165.94, 南 , 毛坯 , 高楼层(共28层) , 2012年建 , 塔楼,252万,"15,187",6, 25天以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403339171.html
奢华大平层动静分明，南北对流采光好，地铁就在家门口,侨建御溪谷北区 -中新镇,5室2厅 ,286.52, 南 北 , 毛坯 , 中楼层(共27层) , 2013年建 , 板塔结合,435万,"15,183",15, 30天以前发布,近地铁-VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403324292.html
