标题,卖点,总价,单价,户型,楼层,共有楼层数,装修,朝向,建造时间,面积,小区,区域,所属区,梯户比例,是否有电梯,房屋属性,详情页
北辰商圈，地铁口精装3+1楼下就是清水塘、长雅,北辰商圈，地铁口精装3+1楼下就是清水塘、长雅，随时看房,159.8,12889,4室2厅,高楼层,33,精装,东南 西北,2007,123.99,君悦香邸,北辰三角洲,开福,两梯六户,有,商品房,https://cs.lianjia.com/ershoufang/104108716568.html
此房满五唯一，南北格局户型周正得房率高房东诚心卖,此房满五唯一，南北格局，户型周正，得房率高，房东诚心卖,102,8068,4室2厅,高楼层,31,其他,南 北,2013,126.44,花样年华,万家丽北,长沙县,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108735996.html
北辰三角洲凤凰公元 4室2厅 南,链家网真房源，更多房源信息请联系经纪人,280,19379,4室2厅,低楼层,45,毛坯,南,0,144.49,北辰三角洲凤凰公元,北辰三角洲,开福,两梯三户,有,商品房,https://cs.lianjia.com/ershoufang/104108735258.html
万科城精装从未入住四房，保养楼层没得说通风好得不行,万科城精装修四房，保养好从未入住，看小区环境，视野通风不得了,172.8,14174,4室2厅,中楼层,34,精装,南 北,2014,121.92,万科城三期,福元西路,开福,两梯五户,有,商品房,https://cs.lianjia.com/ershoufang/104108681733.html
锦泰广场，地铁口，东郡，复式大5房，带大露台,锦泰广场正地铁口 成熟小区 交通便利 配套完善 诚心出售,170,8395,5室2厅,高楼层,10,简装,南 北,0,202.52,宏华花苑,德政园,芙蓉,四梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104108680615.html
北辰凤凰公元，精装大4房出售！车库直通地铁！,房东诚心出售的，视野看花园，目前价格还比较实惠，周正大四房,295,20417,4室2厅,中楼层,45,精装,东南,0,144.49,北辰三角洲凤凰公元,北辰三角洲,开福,两梯三户,有,商品房,https://cs.lianjia.com/ershoufang/104108711067.html
湘熙水郡 4室2厅 东南 南,链家网真房源，更多房源信息请联系经纪人,195,15567,4室2厅,低楼层,34,简装,东南 南,2014,125.27,湘熙水郡,洋湖垸,岳麓,两梯八户,有,商品房,https://cs.lianjia.com/ershoufang/104108733317.html
电视主持人明星小区，纯板房 楼层好   采光good,房子南北通风 纯板楼 小高层 带露台 采光好,138.8,9231,3室2厅,中楼层,7,精装,南,0,150.37,金鹰城圣爵菲斯,中南汽车世界,开福,一梯两户,暂无数据,商品房,https://cs.lianjia.com/ershoufang/104108711204.html
新城新世界三期 3室2厅 南,链家网真房源，更多房源信息请联系经纪人,122,12841,3室2厅,中楼层,33,简装,南,2013,95.01,新城新世界三期,高桥,雨花,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108716038.html
此房清水毛坯，满五唯一，产证在手，诚心出售,公园，湘江，宜家，地铁，湘江，医院，学府，商场。,122,13282,3室2厅,低楼层,34,毛坯,南,2014,91.86,湘熙水郡,洋湖垸,岳麓,四梯八户,有,商品房,https://cs.lianjia.com/ershoufang/104108709798.html
中南汽车世界 4室2厅 南,链家网真房源，更多房源信息请联系经纪人,60,5264,4室2厅,低楼层,6,精装,南,2004,114,中南汽车世界,中南汽车世界,长沙县,一梯两户,暂无数据,商品房,https://cs.lianjia.com/ershoufang/104108712105.html
鑫苑名家清水毛坯三房，中间楼层  采光好 视野好,毛坯三房，南北双阳台，近地铁口，视野好，配套成熟,155,14623,3室2厅,中楼层,33,毛坯,南,2016,106,梅溪鑫苑名家,东方红,岳麓,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108709341.html
精装三房两卫户型，通透性好，业主诚心卖！,万科城精装三房两卫户型，通风采光好，保养好，业主诚心出售。,115.5,12717,3室1厅,低楼层,22,精装,南 北,2014,90.83,万科城三期,福元西路,开福,两梯五户,有,商品房,https://cs.lianjia.com/ershoufang/104108712259.html
滨江板块，满五唯一，江景房，业主急售,滨江板块，楼层好，视野开阔，采光充足，地铁，商场、配套齐.,195,11721,4室2厅,高楼层,21,简装,南 北,2003,166.37,沁园春,银盆岭,岳麓,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108733081.html
兴汉门单位小区，湘雅附一旁，诚心出售，通透三居,通透三居，采光好，小区安静，出行便利，临湘雅附一，省妇幼,105,10890,3室2厅,中楼层,8,简装,南 北,2000,96.42,新湘路社区,伍家岭,开福,一梯两户,暂无数据,商品房,https://cs.lianjia.com/ershoufang/104108714403.html
中城丽景香山 3室1厅 南,链家网真房源，更多房源信息请联系经纪人,140,13580,3室1厅,中楼层,11,精装,南,2012,103.1,中城丽景香山,武广新城,雨花,一梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104108717067.html
月亮岛 明发国际 正地铁口 南北4房 自住装修9成新,月亮岛 明发国际 4号线正地铁口 南北4房 自住装修9成新,119.6,10144,4室2厅,中楼层,34,精装,南,2016,117.91,明发阅江悦府,金星北,望城,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108730098.html
通用时代 业主自住装修 南北朝向 视野宽阔,近地铁  户型周正 花园式小区,165,15247,3室2厅,中楼层,31,精装,南,2014,108.22,通用时代国际社区,金盆岭,天心,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108715979.html
国庆新村 3室1厅 南,链家网真房源，更多房源信息请联系经纪人,68,8807,3室1厅,中楼层,6,简装,南,0,77.22,国庆新村,烈士公园,开福,一梯两户,无,商品房,https://cs.lianjia.com/ershoufang/104108720932.html
梅溪湖南岸 ，楼层好，环境优美，通透三房,小区自带公立幼儿园，清水毛坯，环境优美，随时看房,168,15754,3室2厅,中楼层,44,毛坯,南,2017,106.64,卓越浅水湾,梅溪湖南岸,岳麓,三梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108720959.html
地铁口，自住精装修，看房方便，业主诚心出售,地铁口，自住精装修，看房方便，业主诚心出售,138.8,10344,3室2厅,中楼层,31,精装,南,2008,134.19,新芙蓉之都佳苑,雨花亭,雨花,两梯五户,有,商品房,https://cs.lianjia.com/ershoufang/104108728147.html
井湾子，低楼层三房，居家装修，户型好，出行方便,房子户型周正 采光好 成熟小区 低楼层，朝南,65,6477,3室2厅,低楼层,6,简装,南 北,2005,100.37,佳园星城,井湾子,雨花,一梯两户,无,商品房,https://cs.lianjia.com/ershoufang/104108709661.html
精装修 满五唯一  视野开阔 家具家电齐全 拎包入住,精装修 满五唯一 户型周正 视野开阔 家具家电齐全 拎包入住,81,9180,3室2厅,高楼层,33,精装,东南,2013,88.24,中粮自然天城,望城区,望城,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108716525.html
精装两房，中间楼层，地铁口400米，低于市场价,精装两房，中间楼层，地铁口400米，低于市场价,63.5,7974,2室2厅,中楼层,11,精装,南,2011,79.64,山水湾,万家丽北,长沙县,两梯三户,有,商品房,https://cs.lianjia.com/ershoufang/104108713628.html
纯毛坯 满五唯一 中间楼层 随时看房,纯毛坯 满五唯一 中间楼层 随时看房,118,8409,4室2厅,中楼层,9,毛坯,南 北,2008,140.34,恒鑫澜北湾,开福区政府,开福,一梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104108739435.html
带大露台的4房，户型好， 总价低,此房唯一住房，看房方便，带大露台，公摊少,105,10052,4室2厅,低楼层,18,毛坯,南,2018,104.46,恒生碧水龙庭,汽车南站,雨花,一梯四户,暂无数据,商品房,https://cs.lianjia.com/ershoufang/104108713055.html
高信近地铁2号线 朝南三房二卫 居家精装3房 视野开阔,高信近地铁2号线 朝南三房二卫 居家精装3房 视野开阔,116.8,13112,3室1厅,高楼层,18,精装,南,2015,89.08,高信向日葵,金星中路,岳麓,两梯十户,有,商品房,https://cs.lianjia.com/ershoufang/104108724313.html
店长推荐，月亮岛精装三房，保养好可拎包入住,生活配套齐全，小区绿化好，环境佳，金碧物业,76,7625,3室2厅,中楼层,32,精装,北,0,99.68,恒大名都,金星北,望城,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108719658.html
溪悦荟 圭塘河畔 万科正南向三房 房东诚售！,正南向视野好，业主自住的，保养很好,129.6,13585,3室2厅,中楼层,30,精装,南,2013,95.4,万科金域华府,武广新城,雨花,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108741659.html
尖山湖公园旁 次新小区 全新装修三房 中间楼层,此房中间楼层，采光好，视野开阔，全新装修。,105,11069,3室2厅,中楼层,32,其他,南,2016,94.86,潇湘奥林匹克花园,麓谷西,岳麓,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108741572.html
七号线地铁，天虹商场旁，纯板楼，南北对流,七号线地铁，天虹商场旁，纯板楼，南北对流，适合居家,63.8,7007,3室2厅,高楼层,7,简装,南 北,2013,91.06,鄱阳小区,汽车南站,雨花,十一梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104108729943.html
中茂城，电梯两房，精装修，视野好,中茂城商圈，出门就是公交站，天华，生活配套完善。电梯高层,38.8,5893,2室1厅,中楼层,32,精装,南,0,65.85,明城公寓,泉塘,长沙县,五梯二十四户,有,商品房,https://cs.lianjia.com/ershoufang/104108718302.html
谊苑小区 侯家塘地铁口 1.3号线 人文环境好,小区环境好，人文环境好，正规三房，诚心出售,85,8010,3室2厅,中楼层,7,精装,南,0,106.12,谊苑小区,书院路,天心,一梯两户,无,商品房,https://cs.lianjia.com/ershoufang/104108726848.html
捞刀河旁 精装四房 户型周正 业主成心 视野好,装修保养好 均价低 交通便利 环境优美 公摊小,68.8,4738,4室2厅,高楼层,6,精装,南,0,145.22,灰埠小区,松雅湖,长沙县,一梯一户,暂无数据,商品房,https://cs.lianjia.com/ershoufang/104108731732.html
正地铁口 交通生活便利 配套成熟 户型周正 诚心卖,正地铁口 交通生活便利 配套成熟 户型周正 诚心卖,122,10532,3室2厅,高楼层,31,简装,东南 北,2009,115.84,BOBO天下城,新开铺,天心,五梯十五户,有,商品房,https://cs.lianjia.com/ershoufang/104108741006.html
装修九成新 芙蓉区产权满五唯一通透四房书房业主诚心,满五唯一让您时刻感受温暖的阳光。 装修佳：装修，典雅风格，家,125,9703,5室2厅,低楼层,18,精装,南 北,2014,128.83,才子佳郡,汽车东站,芙蓉,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108569620.html
小区车库直接通di铁，繁华地段大悦城近五一广场,小区车库直接通di铁，繁华地段大悦城近五一广场,280,19433,4室1厅,中楼层,44,毛坯,南,0,144.09,北辰三角洲凤凰公元,北辰三角洲,开福,两梯三户,有,商品房,https://cs.lianjia.com/ershoufang/104108648544.html
金星北纯板楼  一线湖景 改善大平层 全新装修,全新装修，湖景视野，全明户型 价格实惠，毛坯价买精装，,120,6927,4室2厅,中楼层,18,精装,南,2014,173.26,富基世纪公园,金星北,望城,两梯五户,有,商品房,https://cs.lianjia.com/ershoufang/104108648869.html
鸿江苑大三房，单价低，诚心出售随时看房,房子是满五不唯一，业主诚心卖房，随时可以看,163,12219,3室2厅,高楼层,33,简装,南 北,2008,133.4,世纪城鸿江苑,湘江世纪城,开福,两梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104108581059.html
美林水郡 4室1厅 南,链家网真房源，更多房源信息请联系经纪人,140,8434,4室1厅,中楼层,4,精装,南,2008,166,美林水郡,中南汽车世界,长沙县,一梯两户,无,商品房,https://cs.lianjia.com/ershoufang/104108657059.html
河西步步高商圈地段优越，小区优质楼栋满五唯一精装修,河西步步高商圈，地段优越，小区优质楼栋，满五唯一，精装修,246,16410,5室2厅,中楼层,18,精装,南 北,2011,149.91,沁园春御院,河西步步高,岳麓,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108627204.html
板楼，一梯两户，西湖公园50米，环境好。4房,西湖公园旁 花园式小区 近地铁口 精装修,175,12834,4室2厅,中楼层,18,简装,南,2011,136.36,西子湖畔,金星中路,岳麓,两梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104108662707.html
边户三房  带入户花园 有车位 北雅清水塘未用,边户三房  带入户花园 有车位 北雅清水塘未用,143,12328,3室2厅,低楼层,33,简装,南,2010,116,世纪城映江苑,湘江世纪城,开福,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108676488.html
就读燕山 地铁口2、3、7 复式自住装修 带大阳台,就读燕山 地铁口2、3、7 复式自住装修 带大阳台,241.8,11948,4室2厅,高楼层,20,其他,南 西南,0,202.38,香格里嘉园,火车站,芙蓉,两梯八户,有,私产,https://cs.lianjia.com/ershoufang/104108669112.html
遇见好房子！幸福一辈子!高鑫麓城！少有在售产品！,小区少有在售产品，户型方正，改善四居！,205,14909,4室2厅,中楼层,32,精装,北,2012,137.51,高鑫麓城,商学院,岳麓,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108662527.html
北大资源理想家园 4室2厅 南,链家网真房源，更多房源信息请联系经纪人,218,16904,4室2厅,低楼层,18,其他,南,0,128.97,北大资源理想家园,洋湖垸,岳麓,一梯六户,暂无数据,商品房,https://cs.lianjia.com/ershoufang/104108723584.html
上海城 3室2厅 东南 南,链家网真房源，更多房源信息请联系经纪人,130,14076,3室2厅,高楼层,11,简装,东南 南,2003,92.36,上海城,韶山南路,雨花,两梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104108733148.html
品质楼盘大开发商，绿化好，适合居家，小高层,"：
品质楼盘大开发商，绿化好，适合居家，小高层",106,8480,4室2厅,高楼层,18,其他,东南,0,125,五矿紫湖香醍,暮云,天心,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108740323.html
南边苑四房，清水塘，北雅，大入户花园，二个字嬲噻,南边苑四房，清水塘，北雅，大入户花园,220,14589,4室2厅,中楼层,33,简装,南 北,2008,150.8,世纪城星江苑,湘江世纪城,开福,两梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104108743835.html
西湖公园旁 花园式小区 可看西湖公园全景,西湖公园旁 花园式小区 可看西湖公园全景,179,12940,4室2厅,中楼层,18,简装,东南,2011,138.34,西子湖畔,金星中路,岳麓,两梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104108727404.html
8字头松雅湖碧桂园品质 精装大五房 业主急售,自住装修，保养相当好，业主诚心卖，可以看湖看河，视野很好,161.8,8746,4室2厅,低楼层,51,精装,南,0,185,碧桂园天玺湾,松雅湖,长沙县,一梯三户,暂无数据,商品房,https://cs.lianjia.com/ershoufang/104108741024.html
新星小区 3室2厅 南,链家网真房源，更多房源信息请联系经纪人,80.8,8616,3室2厅,中楼层,6,精装,南,2002,93.78,新星小区,树木岭,雨花,一梯两户,无,商品房,https://cs.lianjia.com/ershoufang/104108601202.html
3号线 湘绣城 精装电梯大三房，视野好！,房子房本在手  诚心出售！精装修，拎包可直接入住,96.8,7428,3室1厅,低楼层,18,精装,南,0,130.33,湘绣城,中南汽车世界,长沙县,三梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108663495.html
房子是满五唯一的，业主诚心出售，看房方便，带车位,满五唯一，房子 带车位一起出售，业主诚心出售，看房方便,172,10659,4室2厅,中楼层,18,毛坯,南 北,2012,161.38,嘉华城,汽车南站,雨花,一梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104108675823.html
两梯两户电梯小高层 南北对流双阳台 有钥匙可随时看房,此房满五唯一，南北通透双阳台，南向大阳台可打麻将可做烧烤。,118,8566,3室2厅,低楼层,15,精装,南 北,2007,137.76,玫瑰园,金星北,望城,两梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104108684239.html
