标题,卖点,总价,单价,户型,楼层,共有楼层数,装修,朝向,建造时间,面积,小区,区域,所属区,梯户比例,是否有电梯,房屋属性,详情页
30方私 家 花 园，只需1点税，东南采光,30方私家后花园，只需1点税费，东南采光好，大德路诗书路交界,118,33792,2室1厅,低楼层,5,精装,东南 西南,1999,34.92,大德路,解放南,越秀,一梯五户,无,商品房,https://gz.lianjia.com/ershoufang/108403398765.html
御华园 复式四房 产权清晰 钥匙在手 诚意放卖,"卖点介绍：
御华园复式四房  望花园",360,13943,4室2厅,高楼层,30,简装,南,2013,258.21,新鸿基御华园,狮岭镇,花都,三梯五户,有,商品房,https://gz.lianjia.com/ershoufang/108403412085.html
房子出入配套成熟，离市场近，离公园近。环境好。,此房满五不唯，户口不占用，房子低楼层，通风釆光好。,218,37393,2室1厅,低楼层,9,简装,南 西,1996,58.3,桂花岗,桂花岗,越秀,一梯八户,无,商品房,https://gz.lianjia.com/ershoufang/108403399530.html
荔城西区，大型小区，高楼层，视野无遮挡,通透格局 楼层好 视野开阔 采光充足 配套设施齐全,190,16815,3室2厅,高楼层,32,毛坯,东南,2012,113,锦绣御景国际三期,荔城西区,增城,二十梯五户,有,商品房,https://gz.lianjia.com/ershoufang/108403400521.html
佳润云凯雅寓 2室1厅 南,链家网真房源，更多房源信息请联系经纪人,105,25723,2室1厅,高楼层,16,精装,南,0,40.82,佳润云凯雅寓,南湖,白云,两梯十九户,有,商品房,https://gz.lianjia.com/ershoufang/108403409655.html
锦绣天伦，南向高层望花园，毛坯随心装修，住家之选,此房满5年，南向望花园，楼层好，视野开阔，配套齐全，交通便利,190,21065,3室2厅,高楼层,32,毛坯,南,2015,90.2,敏捷锦绣天伦,新塘北,增城,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403403790.html
锦绣新天地 5房南向   包车位  中高层,此房满五年，业主诚心卖，买房带车位，南向高楼层,252,15187,5室2厅,高楼层,28,毛坯,南,2012,165.94,锦绣新天地,新塘南,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403339171.html
华工东区  精修4房 电梯平层 南北向 带杂物间,精修4房 电梯平层 南北向 带杂物间,838,79530,4室2厅,低楼层,8,精装,南 北,1995,105.37,华南理工大学宿舍凤凰新村,五山,天河,一梯两户,有,商品房,https://gz.lianjia.com/ershoufang/108403385470.html
花都雅景苑 6室2厅 南 北,链家网真房源，更多房源信息请联系经纪人,267,9169,6室2厅,高楼层,7,简装,南 北,0,291.23,花都雅景苑,旧区,花都,一梯两户,暂无数据,商品房,https://gz.lianjia.com/ershoufang/108403388409.html
怡新花园一期宏华楼东南向5房！ 新装修 拎包入住！,怡新一期大户之家！东南朝向，采光充足！精装修，拎包入住！,820,44556,5室3厅,低楼层,9,精装,东 南,1999,184.04,梅苑小区,梅花园,白云,一梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403393270.html
金都花园 电梯4房 满5年 无按揭 钥匙在手 随时看房,满5年不唯一，南向好房 电梯高层4房，地铁口物业。钥匙在手,108,9345,4室1厅,高楼层,10,其他,南,1995,115.57,金都花园,旧区,花都,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108403389870.html
华侨城(番禺) 6室3厅 西南,链家网真房源，更多房源信息请联系经纪人,275,17028,6室3厅,高楼层,9,精装,西南,1993,161.5,华侨城(番禺),市桥,番禺,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403397151.html
满五唯一免个税，中高层视野宽阔 原业主自住保养好,此房满五唯一免除个税，业主自住装修保养好可拎包入住 诚意出手,525,55194,3室2厅,中楼层,30,精装,北 东北,2010,95.12,君华香柏广场,京溪,白云,三梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403400639.html
